Site,Moisture,OM,AP,Sand,Clay
St.A,58.39592743,14.35240234,31.53895131,48.26061864,24.14874282
St.B,49.58024931,10.5882468,29.32134831,33.33894194,28.90954235
St.C,49.85118478,13.57095665,29.75955056,29.87383675,23.42612246
St.D,38.76509641,9.191214152,29.92284644,26.26968634,24.19782518
St.F,55.84585038,14.5131763,30.06891386,53.77093318,26.35022586
St.G,59.42903528,14.73940023,29.1082397,50.72915409,34.29654701
St.H,40.45377651,4.121995664,29.66891386,40.02257184,21.33762545
St.I,51.12481115,13.89522956,30.682397,51.63883085,27.78559842
St.J,41.70692557,14.2397204,28.18164794,34.55104627,26.51055508
St.K,42.24836074,13.570503,28.77902622,22.8345825,22.0555214
St.L,32.88147037,8.504243028,28.97265918,26.65797081,24.76581797
St.M,32.1259952,8.567495306,29.31460674,29.83238623,22.50933432
St.N,41.19096457,11.4543084,30.27453184,36.5389152,23.61289824
St.O,34.55766141,10.29077855,31.25318352,29.21584457,26.39418127