Site,Pyrodinium,Alexandrium,Lingulodinium,Protoperidinium,Quinquecuspis,Stelladinium,Trinovantedinium,Brigantidenium,Pheopolykrikos,Margalefidinium
St.A,0,0,0,0,0,0,0,3,0,0
St.B,0,0,0,0,0,0,0,6,0,0
St.C,0,0,0,0,0,0,0,1,0,0
St.D,15,13,3,0,0,7,4,142,0,0
St.F,11,32,4,0,0,3,3,76,0,0
St.G,3,13,0,0,4,1,0,56,3,0
St.H,0,8,0,0,2,3,4,30,2,0
St.I,0,2,0,0,2,0,2,53,4,4
St.J,3,0,0,4,0,0,0,23,0,6
St.K,3,0,0,5,4,2,2,66,1,5
St.L,6,0,0,9,1,3,0,55,1,9
St.M,4,3,0,8,9,0,4,226,4,19
St.N,6,3,4,4,4,4,4,93,2,8
St.O,9,3,2,6,3,9,4,96,3,3